"Все работает, царапин нет, полный",35 000 KGS,https://lalafo.kg/bishkek/ads/vse-rabotaet-carapin-net-polnyj-id-66983988,https://img5.lalafo.com/i/posters/api/c8/b8/30/fa21710b28fcc425f3a7041330.jpeg
ПОМЕНЯЮ или ПРОДАЮ либо куплю дисплей,Договорная,https://lalafo.kg/bishkek/ads/pomenau-ili-prodau-libo-kuplu-displej-id-67505797,https://img5.lalafo.com/i/posters/api/13/5e/38/b21722c6a63208ce4d96c71a73.jpeg
"Айфон 6 64гб, состояние отличное, тач",7 500 KGS,https://lalafo.kg/bishkek/ads/ajfon-6-64gb-sostoanie-otlicnoe-tac-id-67477504,https://img5.lalafo.com/i/posters/api/6e/72/3c/87775918b9fc1c51b019cc2858.jpeg
"Sony xperia xz1 compact 
Сони иксперия xz1 компакт",15 000 KGS,https://lalafo.kg/bishkek/ads/sony-xperia-xz1-compact-soni-iksperia-xz1-kompakt-id-64456714,https://img5.lalafo.com/i/posters/api/30/8b/45/bc59a33c8e1727c0a85e022514.jpeg
Б/у Samsung A30 32 ГБ,Договорная,https://lalafo.kg/bishkek/ads/bu-samsung-a30-32-gb-id-67516468,https://img5.lalafo.com/i/posters/api/40/c7/ec/bcd78c7dd4e0dd18d6e13d1827.jpeg
Б/у Xiaomi Redmi 5 16 ГБ Черный,Договорная,https://lalafo.kg/bishkek/ads/bu-xiaomi-redmi-5-16-gb-cernyj-id-66876740,
"Продаю или меняю iPhone X 64gb whith, face id",Договорная,https://lalafo.kg/bishkek/ads/prodau-ili-menau-iphone-x-64gb-whith-face-id-id-66827005,https://img5.lalafo.com/i/posters/api/33/32/a5/8a2ccfd6d3fd6fce18e1d46d16.jpeg
Новый Samsung Galaxy J2 Core 8 ГБ Черный,6 000 KGS,https://lalafo.kg/bishkek/ads/novyj-samsung-galaxy-j2-core-8-gb-cernyj-id-63860941,https://img5.lalafo.com/i/posters/api/1c/e1/6cf088c1b205b736f69ba7a08e6e.jpeg
Б/у Samsung Galaxy J5 16 ГБ Черный,4 000 KGS,https://lalafo.kg/bishkek/ads/bu-samsung-galaxy-j5-16-gb-cernyj-id-51865093,https://img5.lalafo.com/i/posters/api/34/f1/3d/52c438b44b90d29c8a0917678d.jpeg
Б/у Samsung Galaxy S7 Edge 32 ГБ Черный,10 000 KGS,https://lalafo.kg/kyzyl-kiya/ads/bu-samsung-galaxy-s7-edge-32-gb-cernyj-id-66958241,https://img5.lalafo.com/i/posters/api/2c/63/4e/115b0639485c944e15f7333a0b.jpeg
IPhone 7 plus 128 gb black НЕ ДОРОГО,19 000 KGS,https://lalafo.kg/bishkek/ads/iphone-7-plus-128-gb-black-ne-dorogo-id-67008076,https://img5.lalafo.com/i/posters/api/cc/b9/ca/ec275b82bbc1208b1e0e77068a.jpeg
"СРОЧНО ПРОДАЮ АЙФОН X 256gb, полный",36 000 KGS,https://lalafo.kg/osh/ads/srocno-prodau-ajfon-x-256gb-polnyj-id-67071633,https://img5.lalafo.com/i/posters/api/ce/27/f0/4e02624b2ed70d5bf72a3045ec.jpeg
Samsung,11 500 KGS,https://lalafo.kg/bishkek/ads/samsung-id-50614374,https://img5.lalafo.com/i/posters/api/f8/87/107625c3ac590590f434b477bd4f.jpeg
Nokia 105. С фонариком. Сост.отл. Работает,1 100 KGS,https://lalafo.kg/bishkek/ads/nokia-105-s-fonarikom-sostotl-rabotaet-id-64104959,https://img5.lalafo.com/i/posters/api/76/57/954b05d5a2333454b5477e2014d3.jpeg
Куплю плату на LG G3 D856 двухсимочный или,Договорная,https://lalafo.kg/bishkek/ads/kuplu-platu-na-lg-g3-d856-dvuhsimocnyj-ili-id-49596644,https://img5.lalafo.com/i/posters/api/4b/3f/03d2f5a22f80db01fa67c585aedd.jpeg
Айфон 5,2 500 KGS,https://lalafo.kg/talas/ads/ajfon-5-id-67568319,https://img5.lalafo.com/i/posters/api/a9/42/d7/bee6ac291ad07352d4e5852686.jpeg
"Телефоны Фонекс, рабочие",Договорная,https://lalafo.kg/bishkek/ads/telefony-foneks-rabocie-id-55412883,https://img5.lalafo.com/i/posters/api/98/b7/3a974a25f35bf9f6306afda753b0.jpeg
КУПЛЮ если у вас или ваших знакомых,Договорная,https://lalafo.kg/bishkek/ads/kuplu-esli-u-vas-ili-vasih-znakomyh-id-67456310,https://img5.lalafo.com/i/posters/api/ff/9c/99/6fb1c814815bd6548ee3331bbf.jpeg
"Отличный, очень мощный",12 000 KGS,https://lalafo.kg/bishkek/ads/otlicnyj-ocen-mosnyj-id-63076308,https://img5.lalafo.com/i/posters/api/31/ab/58dba28aa76022cd23779043c800.jpeg
IPhone 6 64GB Без комплекта,8 000 KGS,https://lalafo.kg/bishkek/ads/iphone-6-64gb-bez-komplekta-id-64088318,https://img5.lalafo.com/i/posters/api/ea/ba/8c9d61ab3db1e7306956d2614f3d.jpeg
Sony Xperia s lt26i на запчасти требуется замена дисплея,400 KGS,https://lalafo.kg/bishkek/ads/sony-xperia-s-lt26i-na-zapcasti-trebuetsa-zamena-displea-id-66530901,https://img5.lalafo.com/i/posters/api/3a/61/02/9d04ced3f94d10dc45800aabc0.jpeg
Айфон 7+ 128 гига без комплекта,23 000 KGS,https://lalafo.kg/bishkek/ads/ajfon-7-128-giga-bez-komplekta-id-65412406,https://img5.lalafo.com/i/posters/api/9f/62/db/801efbe9b8bc91afa6d3a4c414.jpeg
